渠道代号	日均UV	平均注册率	平均搜索量	访问深度	平均停留时间	订单转化率	投放总时间	素材类型	广告类型	合作方式	广告尺寸	广告卖点
A44	5.47 	0.0000 	0.0000 	1.5504 	261.59 	0.0022 	9.00 	gif	不确定	cpc	600*90	打折
A45	226.54 	0.0026 	0.0040 	1.4799 	289.12 	0.0012 	12.00 	swf	不确定	cpd	600*90	打折
A46	59.13 	0.0003 	0.0033 	1.2975 	224.80 	0.0006 	18.00 	swf	不确定	cpd	600*90	打折
A47	55.88 	0.0002 	0.0040 	1.3373 	215.93 	0.0002 	28.00 	swf	不确定	cpd	600*90	打折
A48	9.10 	0.0000 	0.0073 	2.1897 	455.43 	0.0029 	24.00 	swf	不确定	cpd	600*90	打折
A59	0.65 	0.0000 	0.0972 	2.2222 	241.41 	0.0000 	16.00 	swf	不确定	cpd	600*90	打折
A60	0.73 	0.0000 	0.1519 	2.2025 	198.40 	0.0000 	16.00 	swf	不确定	cpd	600*90	打折
A61	1.44 	0.0000 	0.1216 	1.6486 	352.47 	0.0017 	3.00 	swf	不确定	cpd	600*90	打折
A62	0.99 	0.0000 	0.0826 	2.4545 	397.95 	0.0000 	26.00 	swf	不确定	cpd	600*90	打折
A63	72.35 	0.0012 	0.0043 	1.5359 	269.37 	0.0006 	26.00 	swf	不确定	cpd	600*90	打折
A64	62.30 	0.0005 	0.0034 	1.5254 	266.89 	0.0004 	24.00 	swf	不确定	cpd	600*90	打折
A65	78.21 	0.0004 	0.0042 	1.5860 	294.97 	0.0008 	21.00 	swf	不确定	cpd	600*90	打折
A66	51.75 	0.0028 	0.0069 	1.8624 	390.41 	0.0028 	25.00 	swf	不确定	cpd	600*90	打折
A67	21.94 	0.0027 	0.0036 	1.3720 	269.40 	0.0002 	3.00 	swf	不确定	cpd	600*90	打折
A68	64.60 	0.0003 	0.0044 	1.4722 	267.00 	0.0003 	24.00 	swf	不确定	cpd	600*90	打折
A69	117.45 	0.0009 	0.0037 	1.8305 	335.47 	0.0028 	27.00 	swf	不确定	cpd	600*90	打折
A70	109.16 	0.0012 	0.0030 	1.9749 	360.02 	0.0007 	13.00 	swf	不确定	cpd	600*90	打折
A71	36.84 	0.0016 	0.0040 	1.7388 	349.98 	0.0006 	17.00 	swf	不确定	cpd	600*90	打折
A72	14.80 	0.0080 	0.0046 	1.9072 	447.55 	0.0019 	15.00 	swf	不确定	cpd	600*90	打折
A73	22.65 	0.0009 	0.0013 	1.5255 	293.41 	0.0008 	16.00 	swf	不确定	cpd	600*90	打折
A74	61.58 	0.0006 	0.0041 	1.5803 	324.65 	0.0005 	16.00 	swf	不确定	cpd	600*90	打折
A75	6.61 	0.0088 	0.0058 	2.1974 	482.07 	0.0025 	25.00 	swf	不确定	cpd	600*90	打折
A76	2.42 	0.0156 	0.5826 	3.1215 	393.69 	0.0079 	20.00 	jpg	不确定	cpc	600*90	打折
A77	12.61 	0.0023 	0.0063 	1.1002 	350.83 	0.0002 	28.00 	jpg	不确定	cpc	600*90	打折
A78	0.72 	0.0000 	0.0135 	1.4595 	186.73 	0.0033 	23.00 	jpg	不确定	cpc	600*90	打折
A79	0.81 	0.0000 	0.0000 	1.6667 	269.47 	0.0059 	11.00 	jpg	不确定	cpc	600*90	打折
A80	18.17 	0.0011 	0.0016 	1.2751 	125.33 	0.0008 	17.00 	jpg	不确定	cpc	600*90	打折
A81	3.85 	0.0051 	0.0026 	1.6394 	200.86 	0.0049 	17.00 	jpg	不确定	cpc	600*90	打折
A82	3.00 	0.0000 	0.0000 	1.4885 	180.85 	0.0024 	13.00 	jpg	不确定	cpc	600*90	打折
A83	2.02 	0.0000 	0.0000 	1.4683 	284.36 	0.0094 	16.00 	jpg	不确定	cpc	600*90	打折
A84	2.60 	0.0076 	0.0000 	1.7443 	319.58 	0.0000 	24.00 	jpg	不确定	cpc	600*90	打折
A85	1.26 	0.0000 	0.0079 	1.3780 	279.65 	0.0038 	21.00 	jpg	不确定	cpc	600*90	打折
A86	8.67 	0.0000 	0.0023 	1.3299 	88.05 	0.0008 	18.00 	jpg	不确定	cpc	600*90	打折
A87	2.90 	0.0000 	0.0000 	1.2103 	161.36 	0.0025 	30.00 	jpg	不确定	cpc	600*90	打折
A88	4.60 	0.0000 	0.0000 	1.3918 	60.96 	0.0000 	19.00 	jpg	不确定	cpc	600*90	打折
A89	6.16 	0.0000 	0.0000 	1.3942 	65.30 	0.0000 	23.00 	jpg	不确定	cpc	600*90	打折
A90	24.17 	0.0000 	0.0041 	1.2949 	134.15 	0.0007 	26.00 	jpg	不确定	cpc	600*90	打折
A91	1.66 	0.0000 	0.0060 	1.3631 	147.35 	0.0000 	19.00 	jpg	不确定	cpc	600*90	打折
A92	7.10 	0.0042 	0.0056 	1.5635 	254.00 	0.0060 	25.00 	jpg	不确定	cpc	600*90	打折
A93	32.10 	0.0012 	0.0024 	1.3982 	219.53 	0.0050 	18.00 	jpg	不确定	cpc	600*90	打折
A94	12.50 	0.0016 	0.0055 	1.2810 	292.61 	0.0021 	29.00 	jpg	不确定	cpc	600*90	打折
A95	11.96 	0.0017 	0.0050 	1.1533 	107.01 	0.0030 	16.00 	jpg	不确定	cpc	600*90	打折
A96	5.72 	0.0025 	0.2224 	5.0515 	521.08 	0.0083 	4.00 	jpg	不确定	cpc	600*90	打折
A97	0.61 	0.0096 	0.0962 	5.9712 	917.39 	0.0351 	28.00 	swf	不确定	cpm	600*90	打折
A98	1.20 	0.0000 	0.4480 	2.0000 	219.00 	0.0000 	15.00 	swf	不确定	cpm	600*90	打折
A99	16516.13 	0.0009 	0.0059 	1.7708 	531.53 	0.0019 	10.00 	swf	不确定	cpm	600*90	打折
A100	307.46 	0.0153 	0.1413 	7.2082 	523.27 	0.0308 	17.00 	swf	不确定	cpm	600*90	打折
A101	14.22 	0.0000 	0.0000 	1.0152 	232.24 	0.0000 	13.00 	swf	不确定	cpm	600*90	打折
A102	2.55 	0.0000 	0.0076 	1.4981 	510.51 	0.0009 	14.00 	swf	不确定	cpm	600*90	打折
A103	175.02 	0.0098 	0.1084 	5.5044 	495.25 	0.0137 	21.00 	swf	不确定	cpm	600*90	打折
A104	15.04 	0.0036 	0.0263 	5.0156 	414.17 	0.0108 	2.00 	swf	不确定	cpm	600*90	打折
A105	9320.06 	0.0017 	0.0061 	1.9410 	518.54 	0.0018 	18.00 	swf	不确定	cpm	600*90	打折
A106	6.18 	0.0000 	0.0016 	1.0208 	328.79 	0.0000 	4.00 	swf	不确定	cpm	600*90	打折
A107	1.51 	0.0000 	0.0000 	1.0065 	570.42 	0.0000 	24.00 	swf	不确定	cpm	600*90	打折
A108	162.88 	0.0000 	0.0000 	1.0077 	22.92 	0.0000 	6.00 	jpg	不确定	cpc	600*90	打折
A109	9.99 	0.0000 	0.0010 	1.0090 	18.77 	0.0000 	10.00 	jpg	不确定	cpc	600*90	打折
A110	502.84 	0.0001 	0.0000 	1.0149 	38.92 	0.0000 	19.00 	jpg	不确定	cpc	600*90	打折
A111	168.31 	0.0000 	0.0002 	1.0230 	77.98 	0.0001 	2.00 	jpg	不确定	cpc	600*90	打折
A112	32.76 	0.0000 	0.0003 	1.0387 	96.85 	0.0000 	30.00 	jpg	不确定	cpc	600*90	打折
A113	139.99 	0.0003 	0.0001 	1.0344 	114.88 	0.0001 	16.00 	jpg	不确定	cpc	600*90	打折
A114	1816.29 	0.0006 	0.0006 	1.2920 	526.88 	0.0006 	17.00 	swf	不确定	cpm	600*90	打折
A115	2266.65 	0.0013 	0.0127 	1.6095 	496.31 	0.0014 	17.00 	swf	不确定	cpm	600*90	打折
A116	4.78 	0.0050 	0.4908 	3.7002 	489.25 	0.0080 	9.00 	jpg	不确定	cpc	600*90	打折
A117	5.10 	0.0030 	0.5342 	4.6310 	451.28 	0.0135 	9.00 	jpg	不确定	cpc	600*90	打折
A137	513.10 	0.0066 	0.0474 	2.6251 	329.86 	0.0053 	6.00 	swf	不确定	roi	600*90	打折
A138	1.78 	0.0000 	0.0576 	3.2446 	569.20 	0.0147 	30.00 	swf	不确定	roi	600*90	打折
A139	1101.34 	0.0000 	0.0014 	1.6067 	68.78 	0.0001 	19.00 	swf	不确定	roi	600*90	打折
A140	198.70 	0.0000 	0.0009 	1.6886 	65.93 	0.0001 	26.00 	swf	不确定	roi	600*90	打折
A141	978.37 	0.0000 	0.0017 	1.4973 	69.20 	0.0001 	27.00 	swf	不确定	roi	600*90	打折
A142	361.36 	0.0000 	0.0026 	1.5839 	83.78 	0.0001 	4.00 	swf	不确定	roi	600*90	打折
A143	752.21 	0.0000 	0.0017 	1.4797 	121.38 	0.0001 	7.00 	swf	不确定	roi	600*90	打折
A144	658.32 	0.0000 	0.0015 	1.5743 	76.48 	0.0004 	24.00 	swf	不确定	roi	600*90	打折
A145	404.01 	0.0000 	0.0012 	1.5393 	71.57 	0.0001 	19.00 	swf	不确定	roi	600*90	打折
A146	1119.39 	0.0000 	0.0008 	1.5275 	65.70 	0.0001 	27.00 	swf	不确定	roi	600*90	打折
A147	354.75 	0.0000 	0.0005 	1.5221 	69.01 	0.0001 	27.00 	swf	不确定	roi	600*90	打折
A148	417.31 	0.0002 	0.0020 	1.5091 	111.28 	0.0001 	21.00 	swf	不确定	roi	600*90	打折
A149	1260.56 	0.0003 	0.0002 	1.6028 	81.25 	0.0002 	25.00 	swf	不确定	roi	600*90	打折
A150	1107.49 	0.0000 	0.0014 	1.4979 	75.65 	0.0000 	27.00 	swf	不确定	roi	600*90	打折
A151	733.30 	0.0001 	0.0013 	1.5459 	61.81 	0.0001 	18.00 	swf	不确定	roi	600*90	打折
A152	1240.76 	0.0000 	0.0011 	1.5285 	61.21 	0.0001 	9.00 	swf	不确定	roi	600*90	打折
A153	754.35 	0.0001 	0.0007 	1.5224 	67.74 	0.0002 	30.00 	swf	不确定	roi	600*90	打折
A154	416.05 	0.0000 	0.0000 	1.6777 	72.81 	0.0001 	16.00 	swf	不确定	roi	600*90	打折
A163	0.74 	0.0000 	0.0132 	1.9211 	426.00 	0.0000 	8.00 	jpg	不确定	cpc	600*90	打折
A156	306.37 	0.0000 	0.0033 	1.3893 	241.02 	0.0001 	9.00 	jpg	不确定	cpc	600*90	打折
A157	152.72 	0.0001 	0.0028 	1.8394 	176.11 	0.0001 	30.00 	jpg	不确定	cpc	600*90	打折
A158	88.86 	0.0000 	0.0031 	1.9085 	98.14 	0.0000 	7.00 	jpg	不确定	cpc	600*90	打折
A159	287.93 	0.0000 	0.0027 	1.8996 	114.92 	0.0000 	2.00 	jpg	不确定	cpc	600*90	打折
A160	565.31 	0.0000 	0.0022 	1.7711 	173.16 	0.0000 	30.00 	jpg	不确定	cpc	600*90	打折
A161	568.80 	0.0001 	0.0017 	1.6585 	134.03 	0.0000 	14.00 	jpg	不确定	cpc	600*90	打折
A162	178.90 	0.0000 	0.0017 	1.8327 	107.28 	0.0000 	5.00 	jpg	不确定	cpc	600*90	打折
A164	1322.14 	0.0014 	0.0050 	1.3908 	274.15 	0.0004 	20.00 	jpg	不确定	cpc	600*90	打折
A165	87.48 	0.0002 	0.0059 	1.3419 	258.99 	0.0004 	5.00 	jpg	不确定	cpc	600*90	打折
A166	543.67 	0.0009 	0.0046 	1.2429 	316.72 	0.0002 	12.00 	jpg	不确定	cpc	600*90	打折
A167	39.18 	0.0000 	0.0055 	1.2206 	259.97 	0.0002 	18.00 	jpg	不确定	cpc	600*90	打折
A168	1.25 	0.0000 	0.0000 	2.1061 	318.56 	0.0000 	13.00 	jpg	不确定	cpc	600*90	打折
A172	0.77 	0.0000 	0.0000 	1.2308 	157.70 	0.0000 	19.00 	swf	不确定	cpc	600*90	打折
A191	167.44 	0.0066 	0.1574 	4.2488 	404.57 	0.0086 	18.00 	jpg	不确定	cpc	600*90	打折
A173	5303.27 	0.0012 	0.0032 	2.1992 	281.56 	0.0014 	14.00 	swf	不确定	cpc	600*90	打折
A174	8900.04 	0.0000 	0.0011 	1.9078 	228.05 	0.0000 	29.00 	swf	不确定	cpc	600*90	打折
A175	1.90 	0.0000 	0.0000 	1.2421 	145.44 	0.0000 	3.00 	swf	不确定	cpc	600*90	打折
A176	1.26 	0.0000 	0.0000 	1.2143 	135.27 	0.0000 	28.00 	swf	不确定	cpc	600*90	打折
A177	55.07 	0.0014 	0.0046 	1.9271 	383.78 	0.0014 	16.00 	jpg	不确定	cpc	600*90	打折
A178	24.49 	0.0034 	0.0467 	2.7989 	439.09 	0.0052 	9.00 	swf	不确定	cpc	600*90	打折
A179	1887.63 	0.0017 	0.0044 	2.4998 	310.83 	0.0025 	4.00 	swf	不确定	cpc	600*90	打折
A180	5360.48 	0.0000 	0.0012 	2.0176 	240.31 	0.0000 	27.00 	swf	不确定	cpc	600*90	打折
A181	0.89 	0.0000 	0.0000 	1.3708 	146.37 	0.0000 	4.00 	swf	不确定	cpc	600*90	打折
A182	0.75 	0.0000 	0.0000 	1.2533 	157.81 	0.0000 	5.00 	swf	不确定	cpc	600*90	打折
A183	0.06 	0.0000 	0.0000 	1.1656 	409.50 	0.0000 	10.00 	jpg	不确定	cpc	600*90	打折
A184	579.00 	0.0000 	0.0012 	1.8318 	80.30 	0.0000 	3.00 	jpg	不确定	cpc	600*90	打折
A185	398.80 	0.0000 	0.0002 	1.8756 	99.27 	0.0000 	4.00 	jpg	不确定	cpc	600*90	打折
A186	498.85 	0.0000 	0.0029 	1.8693 	124.97 	0.0000 	19.00 	jpg	不确定	cpc	600*90	打折
A187	477.69 	0.0000 	0.0025 	1.7601 	157.33 	0.0000 	26.00 	jpg	不确定	cpc	600*90	打折
A188	1281.10 	0.0000 	0.0026 	1.8829 	115.39 	0.0000 	10.00 	jpg	不确定	cpc	600*90	打折
A189	359.93 	0.0000 	0.0018 	1.7518 	176.82 	0.0000 	5.00 	jpg	不确定	cpc	600*90	打折
A190	64.67 	0.0097 	0.0685 	2.9173 	402.44 	0.0113 	6.00 	swf	不确定	roi	600*90	打折
A192	173.43 	0.0053 	0.0849 	4.2528 	365.57 	0.0051 	7.00 	jpg	不确定	cpc	600*90	打折
A193	63.48 	0.0061 	0.1439 	3.6239 	331.89 	0.0059 	29.00 	jpg	不确定	cpc	600*90	打折
A194	518.78 	0.0041 	0.0562 	3.0421 	258.29 	0.0032 	12.00 	jpg	不确定	cpc	600*90	打折
A198	87.42 	0.0071 	0.0231 	2.3304 	201.35 	0.0059 	5.00 	jpg	不确定	cpc	600*90	打折
A195	391.13 	0.0000 	0.0011 	1.8291 	77.00 	0.0000 	19.00 	jpg	不确定	cpc	600*90	打折
A196	266.40 	0.0000 	0.0003 	1.8802 	96.95 	0.0000 	5.00 	jpg	不确定	cpc	600*90	打折
A197	225.01 	0.0001 	0.0019 	1.8384 	95.36 	0.0000 	10.00 	jpg	不确定	cpc	600*90	打折
A217	0.88 	0.0000 	0.0566 	3.7830 	417.36 	0.0054 	4.00 	jpg	不确定	cpc	600*90	打折
A199	713.75 	0.0000 	0.0012 	1.8215 	80.46 	0.0000 	17.00 	jpg	不确定	cpc	600*90	打折
A200	638.76 	0.0000 	0.0008 	1.5621 	178.65 	0.0000 	15.00 	jpg	不确定	cpc	600*90	打折
A201	623.60 	0.0000 	0.0004 	1.8561 	98.93 	0.0000 	11.00 	jpg	不确定	cpc	600*90	打折
A202	38.57 	0.0003 	0.0028 	1.8591 	76.34 	0.0002 	6.00 	jpg	不确定	cpc	600*90	打折
A204	538.46 	0.0001 	0.0031 	1.8848 	127.14 	0.0001 	7.00 	jpg	不确定	cpc	600*90	打折
A205	315.57 	0.0002 	0.0035 	1.8160 	123.49 	0.0002 	23.00 	jpg	不确定	cpc	600*90	打折
A206	0.49 	0.0000 	0.0857 	4.3429 	548.60 	0.0000 	8.00 	jpg	不确定	cpc	600*90	打折
A207	292.98 	0.0000 	0.0025 	1.8332 	138.98 	0.0000 	2.00 	jpg	不确定	cpc	600*90	打折
A208	296.14 	0.0000 	0.0031 	1.9034 	101.06 	0.0000 	2.00 	jpg	不确定	cpc	600*90	打折
A209	36.53 	0.0008 	0.0091 	2.1337 	161.22 	0.0010 	7.00 	jpg	不确定	cpc	600*90	打折
A210	2604.89 	0.0001 	0.0011 	1.8730 	76.43 	0.0000 	11.00 	jpg	不确定	cpc	600*90	打折
A211	1.44 	0.0000 	0.0068 	1.0000 	86.00 	0.0000 	4.00 	jpg	不确定	cpc	600*90	打折
A212	0.93 	0.0000 	0.0000 	1.5914 	59.28 	0.0000 	4.00 	jpg	不确定	cpc	600*90	打折
A213	830.90 	0.0000 	0.0015 	1.8754 	77.77 	0.0000 	5.00 	jpg	不确定	cpc	600*90	打折
A214	61.83 	0.0002 	0.0000 	1.9279 	83.03 	0.0001 	27.00 	jpg	不确定	cpc	600*90	打折
A218	413.49 	0.0000 	0.0033 	2.0443 	151.66 	0.0000 	1.00 	jpg	不确定	cpc	600*90	打折
A219	0.60 	0.0000 	0.0930 	3.6047 	422.59 	0.0040 	21.00 	jpg	不确定	cpc	600*90	打折
A383	24.82 	0.0022 	0.0761 	3.0297 	308.71 	0.0092 	11.00 	jpg	不确定	cpc	600*90	打折
A220	267.82 	0.0000 	0.0027 	1.8544 	124.81 	0.0000 	15.00 	jpg	不确定	cpc	600*90	打折
A221	151.88 	0.0000 	0.0022 	1.7966 	175.38 	0.0000 	6.00 	jpg	不确定	cpc	600*90	打折
A222	548.71 	0.0000 	0.0023 	1.9003 	118.96 	0.0000 	22.00 	jpg	不确定	cpc	600*90	打折
A223	5.24 	0.0000 	0.0000 	1.9237 	119.78 	0.0000 	27.00 	jpg	不确定	cpc	600*90	打折
A224	1345.56 	0.0000 	0.0011 	1.8324 	80.33 	0.0000 	28.00 	jpg	不确定	cpc	600*90	打折
A225	950.39 	0.0000 	0.0007 	1.4946 	221.93 	0.0001 	20.00 	jpg	不确定	cpc	600*90	打折
A226	707.09 	0.0000 	0.0004 	1.8627 	98.31 	0.0000 	3.00 	jpg	不确定	cpc	600*90	打折
A227	88.72 	0.0000 	0.0017 	2.2162 	165.41 	0.0000 	9.00 	jpg	不确定	cpc	600*90	打折
A228	155.81 	0.0000 	0.0024 	1.8435 	100.20 	0.0000 	8.00 	jpg	不确定	cpc	600*90	打折
A229	136.97 	0.0000 	0.0022 	1.8675 	77.10 	0.0001 	5.00 	jpg	不确定	cpc	600*90	打折
A230	309.70 	0.0000 	0.0013 	1.8047 	86.29 	0.0000 	5.00 	jpg	不确定	cpc	600*90	打折
A231	117.50 	0.0001 	0.0025 	1.8284 	101.37 	0.0000 	21.00 	jpg	不确定	cpc	600*90	打折
A232	106.87 	0.0000 	0.0024 	2.1959 	165.49 	0.0000 	2.00 	jpg	不确定	cpc	600*90	打折
A233	297.22 	0.0001 	0.0029 	1.8578 	123.74 	0.0000 	24.00 	jpg	不确定	cpc	600*90	打折
A234	167.75 	0.0000 	0.0026 	1.8706 	185.82 	0.0003 	18.00 	jpg	不确定	cpc	600*90	打折
A235	829.38 	0.0000 	0.0025 	1.8948 	107.93 	0.0002 	24.00 	jpg	不确定	cpc	600*90	打折
A236	634.46 	0.0000 	0.0014 	1.7834 	159.79 	0.0000 	15.00 	jpg	不确定	cpc	600*90	打折
A237	184.86 	0.0000 	0.0017 	1.8230 	83.28 	0.0003 	7.00 	jpg	不确定	cpc	600*90	打折
A238	444.57 	0.0000 	0.0009 	1.3652 	163.19 	0.0001 	1.00 	jpg	不确定	cpc	600*90	打折
A239	99.87 	0.0000 	0.0008 	1.8737 	93.70 	0.0000 	25.00 	jpg	不确定	cpc	600*90	打折
A240	255.12 	0.0000 	0.0020 	1.9870 	192.27 	0.0000 	23.00 	jpg	不确定	cpc	600*90	打折
A241	484.60 	0.0000 	0.0024 	1.7611 	210.73 	0.0000 	28.00 	jpg	不确定	cpc	600*90	打折
A242	289.89 	0.0000 	0.0024 	1.9907 	142.93 	0.0000 	28.00 	jpg	不确定	cpc	600*90	打折
A243	286.49 	0.0000 	0.0016 	2.0016 	217.64 	0.0000 	15.00 	jpg	不确定	cpc	600*90	打折
A244	518.55 	0.0000 	0.0014 	1.8053 	158.75 	0.0001 	29.00 	jpg	不确定	cpc	600*90	打折
A245	981.16 	0.0000 	0.0015 	1.8640 	77.20 	0.0001 	1.00 	jpg	不确定	cpc	600*90	打折
A246	557.57 	0.0001 	0.0013 	1.6529 	132.02 	0.0001 	25.00 	jpg	不确定	cpc	600*90	打折
A247	169.09 	0.0000 	0.0025 	1.8829 	94.91 	0.0000 	21.00 	jpg	不确定	cpc	600*90	打折
A248	119.40 	0.0001 	0.0020 	1.8281 	148.43 	0.0000 	20.00 	jpg	不确定	cpc	600*90	打折
A249	119.14 	0.0000 	0.0011 	1.8204 	112.15 	0.0000 	29.00 	jpg	不确定	cpc	600*90	打折
A250	131.73 	0.0000 	0.0027 	2.2175 	173.47 	0.0000 	27.00 	jpg	不确定	cpc	600*90	打折
A251	365.14 	0.0001 	0.0027 	1.8602 	125.84 	0.0000 	16.00 	jpg	不确定	cpc	600*90	打折
A252	215.60 	0.0000 	0.0024 	1.8047 	177.70 	0.0000 	23.00 	jpg	不确定	cpc	600*90	打折
A253	765.20 	0.0000 	0.0024 	1.8905 	120.83 	0.0000 	6.00 	jpg	不确定	cpc	600*90	打折
A254	257.80 	0.0000 	0.0021 	1.8435 	101.63 	0.0000 	18.00 	jpg	不确定	cpc	600*90	打折
A255	565.89 	0.0000 	0.0014 	1.7371 	189.85 	0.0000 	28.00 	jpg	不确定	cpc	600*90	打折
A256	198.03 	0.0001 	0.0010 	1.8663 	78.97 	0.0002 	1.00 	jpg	不确定	cpc	600*90	打折
A257	474.41 	0.0000 	0.0018 	1.8065 	86.81 	0.0000 	19.00 	jpg	不确定	cpc	600*90	打折
A258	365.39 	0.0000 	0.0004 	1.8689 	99.78 	0.0000 	14.00 	jpg	不确定	cpc	600*90	打折
A259	467.28 	0.0000 	0.0020 	1.9663 	197.13 	0.0000 	8.00 	jpg	不确定	cpc	600*90	打折
A260	117.98 	0.0000 	0.0031 	2.0146 	128.38 	0.0000 	13.00 	jpg	不确定	cpc	600*90	打折
A261	680.23 	0.0000 	0.0023 	1.9802 	149.70 	0.0000 	20.00 	jpg	不确定	cpc	600*90	打折
A262	51.93 	0.0000 	0.0019 	1.8797 	76.30 	0.0000 	3.00 	jpg	不确定	cpc	600*90	打折
A263	537.37 	0.0000 	0.0013 	1.8393 	82.17 	0.0000 	11.00 	jpg	不确定	cpc	600*90	打折
A264	364.77 	0.0001 	0.0003 	1.8955 	96.57 	0.0003 	20.00 	jpg	不确定	cpc	600*90	打折
A265	228.07 	0.0000 	0.0022 	1.8451 	99.91 	0.0000 	9.00 	jpg	不确定	cpc	600*90	打折
A266	428.28 	0.0000 	0.0016 	1.7397 	193.96 	0.0000 	28.00 	jpg	不确定	cpc	600*90	打折
A267	741.94 	0.0000 	0.0010 	1.8460 	80.12 	0.0000 	30.00 	jpg	不确定	cpc	600*90	打折
A268	361.74 	0.0000 	0.0003 	1.8679 	99.38 	0.0000 	11.00 	jpg	不确定	cpc	600*90	打折
A269	0.65 	0.0000 	0.5429 	1.6429 	131.13 	0.0000 	10.00 	jpg	不确定	cpc	600*90	打折
A270	180.05 	0.0000 	0.0024 	2.2217 	169.44 	0.0000 	11.00 	jpg	不确定	cpc	600*90	打折
A271	498.19 	0.0000 	0.0027 	1.8619 	123.98 	0.0000 	16.00 	jpg	不确定	cpc	600*90	打折
A272	478.65 	0.0000 	0.0029 	1.7664 	158.25 	0.0000 	11.00 	jpg	不确定	cpc	600*90	打折
A273	1032.75 	0.0000 	0.0026 	1.8981 	116.30 	0.0000 	13.00 	jpg	不确定	cpc	600*90	打折
A274	263.58 	0.0000 	0.0028 	1.9906 	195.62 	0.0000 	1.00 	jpg	不确定	cpc	600*90	打折
A275	75.00 	0.0000 	0.0020 	2.0390 	143.59 	0.0000 	23.00 	jpg	不确定	cpc	600*90	打折
A276	473.33 	0.0001 	0.0024 	1.7410 	208.98 	0.0000 	18.00 	jpg	不确定	cpc	600*90	打折
A277	189.59 	0.0000 	0.0023 	2.0546 	176.67 	0.0000 	6.00 	jpg	不确定	cpc	600*90	打折
A278	290.83 	0.0000 	0.0014 	1.7971 	85.86 	0.0000 	25.00 	jpg	不确定	cpc	600*90	打折
A279	318.47 	0.0001 	0.0008 	1.8577 	77.19 	0.0002 	10.00 	jpg	不确定	cpc	600*90	打折
A280	271.14 	0.0000 	0.0004 	1.9033 	98.79 	0.0004 	9.00 	jpg	不确定	cpc	600*90	打折
A281	543.34 	0.0000 	0.0020 	1.9942 	191.28 	0.0000 	20.00 	jpg	不确定	cpc	600*90	打折
A282	138.79 	0.0000 	0.0021 	2.0325 	125.49 	0.0000 	11.00 	jpg	不确定	cpc	600*90	打折
A283	367.32 	0.0000 	0.0027 	1.9270 	137.48 	0.0001 	10.00 	jpg	不确定	cpc	600*90	打折
A284	170.08 	0.0000 	0.0001 	1.2300 	212.62 	0.0000 	24.00 	swf	不确定	roi	600*90	打折
A285	769.74 	0.0000 	0.0000 	1.3363 	253.83 	0.0000 	10.00 	swf	不确定	roi	600*90	打折
A286	144.52 	0.0000 	0.0001 	2.0592 	136.31 	0.0002 	8.00 	swf	不确定	roi	600*90	打折
A287	102.30 	0.0000 	0.0002 	1.5622 	180.64 	0.0000 	11.00 	swf	不确定	roi	600*90	打折
A288	280.38 	0.0000 	0.0001 	1.3405 	235.54 	0.0001 	29.00 	swf	不确定	roi	600*90	打折
A289	589.44 	0.0000 	0.0001 	1.4317 	272.17 	0.0000 	24.00 	swf	不确定	roi	600*90	打折
A290	1135.49 	0.0000 	0.0000 	1.3572 	120.80 	0.0000 	18.00 	swf	不确定	roi	600*90	打折
A291	214.62 	0.0001 	0.0004 	1.5784 	133.23 	0.0001 	3.00 	swf	不确定	roi	600*90	打折
A292	523.69 	0.0000 	0.0001 	1.2794 	124.51 	0.0000 	30.00 	swf	不确定	roi	600*90	打折
A293	283.28 	0.0001 	0.0001 	1.2761 	92.92 	0.0000 	18.00 	swf	不确定	roi	600*90	打折
A294	145.60 	0.0000 	0.0000 	1.0050 	74.21 	0.0000 	1.00 	swf	不确定	roi	600*90	打折
A295	7046.57 	0.0017 	0.0088 	1.7672 	221.22 	0.0080 	5.00 	swf	不确定	cpd	600*90	打折
A296	2.27 	0.0000 	0.0000 	1.6053 	160.45 	0.0084 	2.00 	swf	不确定	cpd	600*90	打折
A297	1715.52 	0.0000 	0.0000 	1.8602 	221.30 	0.0000 	17.00 	swf	不确定	roi	600*90	打折
A298	238.67 	0.0000 	0.0000 	1.4299 	205.27 	0.0000 	9.00 	swf	不确定	roi	600*90	打折
A299	269.08 	0.0000 	0.0001 	1.3947 	197.62 	0.0001 	18.00 	swf	不确定	roi	600*90	打折
A300	251.06 	0.0000 	0.0000 	1.3820 	213.38 	0.0000 	15.00 	swf	不确定	roi	600*90	打折
A301	338.98 	0.0005 	0.0014 	1.4833 	332.64 	0.0003 	13.00 	swf	不确定	roi	600*90	打折
A302	197.65 	0.0000 	0.0000 	1.3619 	188.61 	0.0000 	29.00 	swf	不确定	roi	600*90	打折
A303	328.88 	0.0000 	0.0000 	1.3489 	193.50 	0.0000 	2.00 	swf	不确定	roi	600*90	打折
A304	300.51 	0.0000 	0.0001 	1.3653 	256.95 	0.0000 	14.00 	swf	不确定	roi	600*90	打折
A305	147.74 	0.0000 	0.0002 	1.3417 	348.43 	0.0000 	12.00 	swf	不确定	roi	600*90	打折
A306	67.15 	0.0186 	0.0442 	3.2373 	379.45 	0.0059 	17.00 	swf	不确定	roi	600*90	打折
A307	2.02 	0.0170 	0.0340 	4.3830 	499.02 	0.0165 	29.00 	swf	不确定	roi	600*90	打折
A308	854.10 	0.0001 	0.0002 	1.4034 	305.66 	0.0001 	27.00 	swf	不确定	roi	600*90	打折
